product_price,delivery_days,customer_rating,is_first_order,return_probability_pct
2029.4,8,1.4,1,23.21
1666.8,1,3.4,0,16.91
4348.1,2,3.0,1,26.77
1760.5,8,4.3,1,38.28
3649.1,5,1.1,0,23.83
2176.1,1,1.9,0,20.56
3217.8,9,1.1,1,25.0
2345.3,7,2.8,0,32.15
2121.7,1,2.8,1,34.03
275.5,6,1.7,0,37.06
2045.4,4,5.0,1,40.1
904.2,8,1.1,1,12.84
3736.8,4,1.9,0,35.11
4694.6,4,4.3,0,51.33
853.7,7,2.0,1,8.56
556.6,10,3.3,0,31.43
2451.9,3,2.6,0,41.47
2832.2,5,4.5,0,49.05
4541.8,1,2.2,0,32.16
2218.3,2,1.2,1,11.66
3231.6,7,1.2,0,34.56
3374.4,6,1.4,1,24.93
2521.6,5,3.7,1,36.29
1562.0,5,4.0,0,42.18
1633.3,6,2.0,0,23.21
